Movie Name,Rating,Votes,Duration
Attack on Titan the Movie: The Last Attack,9.2,25000.0,Unknown
Zeitgeist: Requiem,9.2,90000.0,Unknown
Paper Bag Plan,9.2,39000.0,Unknown
The Friendly,9.0,51000.0,Unknown
Space Cowboy,9.0,62000.0,Unknown
Gundi: Legend of Love,8.9,5900.0,Unknown
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.8,1700.0,Unknown
Gunfighter Paradise,8.7,25000.0,Unknown
Solo Leveling: ReAwakening,8.7,17000.0,Unknown
GHOST: Rite Here Rite Now,8.6,2200.0,Unknown
